time [s],adc_buf[0],
2.73168,2034,
2.73315,2041,
2.73515,2040,
2.73714,2046,
2.73915,2039,
2.74115,2042,
2.74316,2040,
2.74515,2040,
2.74718,2040,
2.74915,2037,
2.75151,2035,
2.75357,2036,
2.75557,2039,
2.75757,2038,
2.75958,2043,
2.76158,2043,
2.76316,2041,
2.76517,2038,
2.76715,2041,
2.76915,2038,
2.77115,2042,
2.77315,2041,
2.77515,2038,
2.77715,2040,
2.77919,2038,
2.78087,2039,
2.78257,2038,
2.78457,2041,
2.78657,2037,
2.78861,2044,
2.79057,2043,
2.79257,2038,
2.79457,2046,
2.79658,2039,
2.7986,2034,
2.80057,2034,
2.80258,2039,
2.8044,2042,
2.80657,2041,
2.80857,2041,
2.81057,2039,
2.8124,2041,
2.81457,2031,
2.81657,2039,
2.81857,2037,
2.82057,2042,
2.82257,2042,
2.82457,2045,
2.82659,2041,
2.82865,2041,
2.82987,2031,
2.831,2039,
2.83315,2038,
2.83515,2049,
2.83717,2035,
2.83883,2041,
2.84118,2035,
2.84315,2039,
2.84468,2051,
2.84657,2041,
2.84857,2035,
2.85057,2041,
2.85246,2035,
2.85416,2039,
2.8562,2039,
2.85758,2042,
2.85916,2036,
2.86116,2036,
2.86315,2027,
2.86515,2038,
2.86688,2043,
2.86915,2044,
2.87116,2037,
2.87318,2041,
2.87517,2036,
2.87718,2042,
2.87916,2040,
2.88115,2041,
2.88315,2042,
2.88515,2043,
2.88715,2037,
2.88916,2040,
2.89087,2039,
2.89207,2041,
2.89423,2043,
2.89618,2041,
2.89815,2036,
2.90016,2038,
2.90215,2043,
2.90416,2048,
2.90617,2041,
2.90817,2039,
2.91017,2038,
2.91215,2040,
2.91415,2041,
2.91621,2039,
2.91821,2042,
2.92019,2033,
2.92218,2032,
2.92388,2042,
2.92512,2036,
2.92716,2042,
2.92915,2042,
2.93115,2033,
2.93282,2039,
2.93515,2041,
2.93715,2034,
2.93917,2043,
2.94116,2045,
2.94316,2041,
2.94515,2038,
2.94715,2039,
2.94918,2043,
2.95115,2039,
2.95317,2041,
2.95516,2032,
2.95715,2042,
2.95916,2035,
2.96115,2039,
2.96316,2037,
2.96515,2039,
2.96717,2037,
2.96916,2039,
2.97116,2043,
2.97316,2041,
2.97516,2040,
2.97716,2044,
2.97917,2040,
2.98117,2041,
2.98317,2035,
2.98557,2044,
2.98715,2037,
2.98915,2037,
2.99116,2033,
2.99316,2039,
2.99515,2033,
2.99718,2041,
2.99915,2035,
3.00117,2042,
3.00257,2044,
3.00447,2040,
3.00657,2042,
3.00858,2047,
3.01057,2039,
3.01259,2043,
3.01419,2038,
3.01617,2040,
3.01819,2041,
3.02017,2039,
3.02215,2038,
3.02415,2039,
3.02618,2039,
3.02819,2039,
3.03016,2040,
3.03215,2038,
3.03418,2039,
3.0366,2041,
3.03857,2039,
3.04057,2040,
3.04257,2037,
3.04458,2035,
3.04657,2034,
3.04859,2040,
3.05046,2046,
