time [s],filter_volt,
12.4859,1.51354,
12.4879,1.50949,
12.4899,1.50113,
12.4919,1.49797,
12.4939,1.49413,
12.4959,1.48602,
12.4979,1.48281,
12.4995,1.47751,
12.5015,1.4749,
12.5035,1.47137,
12.5055,1.46493,
12.5075,1.46102,
12.5095,1.45367,
12.5115,1.45325,
12.5135,1.45039,
12.5149,1.44905,
12.5169,1.44267,
12.5185,1.43669,
12.5205,1.4343,
12.5225,1.4328,
12.5246,1.4331,
12.5265,1.42886,
12.5285,1.42536,
12.5305,1.42137,
12.5319,1.41928,
12.5339,1.41946,
12.5359,1.41696,
12.5379,1.41728,
12.5399,1.41476,
12.5419,1.41126,
12.5439,1.40899,
12.5459,1.40593,
12.5479,1.40769,
12.5499,1.40576,
12.5519,1.40628,
12.5539,1.40393,
12.5559,1.39794,
12.5579,1.39818,
12.5599,1.39364,
12.5619,1.3969,
12.5639,1.39756,
12.5659,1.39628,
12.5679,1.39433,
12.5699,1.39045,
12.5719,1.38897,
12.5739,1.38694,
12.5759,1.38869,
12.5779,1.39061,
12.5799,1.38888,
12.5819,1.38961,
12.5839,1.38852,
12.5858,1.38593,
12.5879,1.38515,
12.5899,1.38163,
12.5919,1.38336,
12.5939,1.3839,
12.5959,1.38576,
12.5979,1.38212,
12.5999,1.37767,
12.6019,1.37788,
12.6039,1.37433,
12.6059,1.37871,
12.6079,1.37778,
12.6099,1.37757,
12.6119,1.37784,
12.6139,1.37587,
12.6159,1.37673,
12.6185,1.37361,
12.6205,1.37281,
12.6225,1.37583,
12.6245,1.37693,
12.6265,1.37815,
12.6285,1.37348,
12.6305,1.3693,
12.6319,1.37102,
12.6339,1.37039,
12.6349,1.37429,
12.6369,1.37436,
12.6389,1.37584,
12.6409,1.37393,
12.6429,1.37517,
12.6449,1.37346,
12.6469,1.3716,
12.6489,1.37113,
12.6509,1.3698,
12.6529,1.37306,
12.6549,1.37396,
12.6569,1.37551,
12.6589,1.37242,
12.6609,1.36848,
12.6629,1.37006,
12.6649,1.3692,
12.6669,1.37257,
12.6689,1.3718,
12.6709,1.37173,
12.6729,1.37123,
12.6749,1.37011,
12.6769,1.37151,
12.6789,1.3667,
12.6809,1.36998,
12.6825,1.37203,
12.6845,1.3734,
12.6865,1.37425,
12.6885,1.37224,
12.6905,1.37272,
12.6925,1.37031,
12.6945,1.37071,
12.6965,1.37281,
12.6985,1.37245,
12.7005,1.37537,
12.7025,1.37472,
12.7045,1.37383,
12.7065,1.37289,
12.7085,1.36899,
12.7105,1.37222,
12.7125,1.37092,
12.7142,1.37331,
12.7165,1.37424,
12.7185,1.37305,
12.7205,1.37223,
12.7225,1.36801,
12.7245,1.36918,
12.7265,1.36897,
12.7285,1.3715,
12.7305,1.3727,
12.7325,1.37209,
12.7345,1.37311,
12.7365,1.37185,
12.7385,1.37042,
12.7405,1.37028,
12.7425,1.36626,
12.7445,1.36939,
12.7465,1.37052,
12.7485,1.37235,
12.7505,1.36899,
12.7525,1.36475,
12.7545,1.36659,
12.7565,1.36628,
12.7583,1.37085,
12.7606,1.37095,
12.7625,1.37099,
12.7645,1.37149,
12.7665,1.37035,
12.7685,1.37132,
12.7705,1.36689,
12.7725,1.36957,
12.7745,1.37052,
12.7765,1.37303,
12.7782,1.3755,
12.7799,1.37172,
12.7815,1.3731,
12.7835,1.36769,
12.7855,1.36972,
12.7875,1.36933,
12.7895,1.37217,
12.7915,1.37355,
12.7935,1.3732,
12.7955,1.37384,
12.7975,1.3731,
12.7995,1.37169,
12.8009,1.36966,
12.8028,1.37298,
12.8049,1.37378,
12.8069,1.3745,
12.8089,1.37665,
12.8109,1.37356,
12.8129,1.37215,
12.8145,1.37004,
12.8165,1.37116,
12.8185,1.3725,
12.8209,1.37218,
12.8229,1.37546,
12.8251,1.37557,
12.8269,1.37357,
12.8289,1.37366,
12.8308,1.37245,
12.8329,1.37642,
12.8349,1.37408,
12.8369,1.37555,
12.8389,1.37639,
12.8409,1.37376,
12.8429,1.37384,
12.8449,1.37051,
12.8469,1.37118,
12.8489,1.37378,
12.8509,1.37193,
12.8529,1.37434,
12.8549,1.3737,
12.8569,1.37265,
12.8589,1.37159,
12.8609,1.36758,
12.8629,1.37181,
12.8649,1.37267,
12.8669,1.37576,
12.8689,1.37617,
12.8709,1.3748,
12.8725,1.37385,
