time [s],filter_volt,voltage,
11.9864,1.37177,1.39893,
11.9885,1.37227,1.47968,
11.9905,1.37294,1.52551,
11.9925,1.37181,1.4062,
11.9945,1.37335,1.4644,
11.9965,1.37529,1.57571,
11.9981,1.37556,1.316,
11.9999,1.37966,1.56407,
12.0019,1.37758,1.48332,
12.0039,1.37793,1.42221,
12.0059,1.38034,1.51678,
12.0079,1.38069,1.5146,
12.0099,1.37705,1.25344,
12.0115,1.37827,1.54151,
12.0135,1.37691,1.48259,
12.0155,1.37644,1.18651,
12.0175,1.37776,1.41348,
12.0199,1.37432,1.50587,
12.0219,1.37225,1.31745,
12.0239,1.37395,1.49277,
12.0259,1.37244,1.50514,
12.0279,1.37052,1.33127,
12.0299,1.37296,1.50587,
12.0314,1.37083,1.5386,
12.0335,1.37186,1.21779,
12.036,1.37356,1.54151,
12.0379,1.37201,1.25853,
12.0398,1.36963,1.42803,
12.0414,1.36963,1.48404,
12.0435,1.37142,1.51023,
12.0449,1.37248,1.29781,
12.0465,1.37073,1.5677,
12.0481,1.37147,1.4273,
12.0496,1.37492,1.57498,
12.051,1.37544,1.49714,
12.0525,1.37657,1.31454,
12.0545,1.37626,1.15159,
12.0569,1.37789,1.48332,
12.0589,1.37861,1.5437,
12.061,1.37765,1.48841,
12.0629,1.37733,1.52406,
12.0649,1.37734,1.51969,
12.0669,1.37542,1.49059,
12.0689,1.37506,1.50441,
12.0709,1.37691,1.49059,
12.0729,1.37292,1.42366,
12.0749,1.37259,1.51896,
12.0769,1.37448,1.49205,
12.0789,1.37337,1.4855,
12.0808,1.37075,1.49714,
12.0825,1.37273,1.5306,
12.0845,1.37118,1.35237,
12.0865,1.37218,1.48914,
12.0885,1.37167,1.52115,
12.0905,1.37054,1.38511,
12.0925,1.37168,1.47313,
12.0945,1.37189,1.5386,
12.0965,1.37212,1.46513,
12.0985,1.37472,1.54952,
12.1005,1.37567,1.58298,
12.1025,1.37527,1.4724,
12.1045,1.37772,1.49277,
12.1065,1.3791,1.53133,
12.1085,1.37725,1.42221,
12.1105,1.38117,1.49132,
12.1125,1.38236,1.52987,
12.1142,1.38145,1.49423,
12.1165,1.38058,1.51896,
12.1185,1.38172,1.51969,
12.1205,1.37876,1.4724,
12.1225,1.3793,1.52987,
12.1245,1.38112,1.30872,
12.1265,1.37732,1.43312,
12.1285,1.37622,1.48768,
12.1305,1.37765,1.48477,
12.1325,1.37666,1.28472,
12.1345,1.37489,1.4564,
12.1365,1.37574,1.31091,
12.1385,1.37528,1.52987,
12.1405,1.37382,1.5226,
12.1425,1.37578,1.3029,
12.1445,1.3736,1.46877,
12.1465,1.37327,1.46295,
12.1485,1.37501,1.46222,
12.1505,1.3758,1.50296,
12.1525,1.37484,1.38511,
12.1539,1.37714,1.33491,
12.1554,1.37579,1.44767,
12.1575,1.37988,1.3029,
12.1595,1.38055,1.31309,
12.1615,1.3798,1.16177,
12.1635,1.38174,1.29999,
12.1655,1.37925,1.22215,
12.1675,1.37864,1.23743,
12.1695,1.38167,1.33491,
12.1715,1.3772,1.35237,
12.1735,1.37534,1.21051,
12.1755,1.37717,1.28035,
12.1775,1.37518,1.2789,
12.1796,1.37158,1.42803,
12.4545,1.52415,1.40329,
12.4565,1.51973,1.22579,
12.4585,1.52307,1.4644,
12.4605,1.5235,1.43239,
12.4625,1.52256,1.4062,
12.4645,1.52307,1.46222,
12.4665,1.51981,1.25635,
12.4683,1.52232,1.42876,
12.4705,1.52251,1.4273,
12.4725,1.51913,1.32255,
12.4745,1.52158,1.41493,
12.4765,1.51944,1.3611,
12.4785,1.51976,1.39602,
12.4805,1.51775,1.40984,
12.4819,1.51795,1.68992,
12.4839,1.51762,1.44258,
12.4859,1.51354,1.50296,
12.4879,1.50949,1.29199,
12.4899,1.50113,1.34582,
12.4919,1.49797,1.35237,
12.4939,1.49413,1.32109,
12.4959,1.48602,1.16396,
12.4979,1.48281,1.32764,
12.4995,1.47751,1.33346,
12.5015,1.4749,1.308,
12.5035,1.47137,1.30218,
12.5055,1.46493,1.18214,
12.5075,1.46102,1.26798,
12.5095,1.45367,1.21924,
12.5115,1.45325,1.32036,
12.5135,1.45039,1.30072,
12.5149,1.44905,1.56989,
12.5169,1.44267,1.31018,
12.5185,1.43669,1.05993,
12.5205,1.4343,1.30509,
12.5225,1.4328,1.24907,
12.5246,1.4331,1.2949,
12.5265,1.42886,1.26653,
12.5285,1.42536,1.15159,
12.5305,1.42137,1.29636,
12.5319,1.41928,1.54952,
12.5339,1.41946,1.32255,
