time [s],adc_buf[0],
12.6119,2163,
12.6139,2064,
12.6159,2114,
12.6185,1986,
12.6205,2103,
12.6225,2117,
12.6245,2065,
12.6265,2023,
12.6285,1975,
12.6305,2102,
12.6319,1759,
12.6339,2098,
12.6349,2122,
12.6369,2153,
12.6389,2051,
12.6409,1976,
12.6429,2114,
12.6449,1964,
12.6469,2022,
12.6489,1981,
12.6509,2105,
12.6529,1798,
12.6549,2066,
12.6569,2010,
12.6589,1949,
12.6609,2086,
12.6629,2126,
12.6649,2112,
12.6669,2149,
12.6689,1682,
12.6709,2114,
12.6729,2158,
12.6749,2069,
12.6769,2117,
12.6789,1766,
12.6809,2132,
12.6825,2098,
12.6845,1750,
12.6865,1736,
12.6885,1666,
12.6905,2114,
12.6925,1799,
12.6945,2045,
12.6965,2089,
12.6985,2160,
12.7005,1851,
12.7025,1967,
12.7045,1719,
12.7065,2030,
12.7085,2138,
12.7105,2114,
12.7125,2073,
12.7142,2118,
12.7165,1635,
12.7185,2138,
12.7205,1757,
12.7225,2042,
12.7245,2121,
12.7265,1918,
12.7285,2125,
12.7305,2043,
12.7325,1974,
12.7345,1700,
12.7365,1975,
12.7385,1738,
12.7405,1934,
12.7425,2093,
12.7445,2113,
12.7465,2064,
12.7485,2031,
12.7505,1679,
12.7525,2085,
12.7545,1820,
12.7565,2097,
12.7583,2173,
12.7606,1943,
12.7625,1753,
12.7645,2153,
12.7665,2060,
12.7685,2093,
12.7705,1748,
12.7725,1802,
12.7745,1757,
12.7765,2104,
12.7782,2107,
12.7799,1670,
12.7815,2140,
12.7835,1568,
12.7855,2128,
12.7875,1705,
12.7895,2129,
12.7915,2052,
12.7935,2186,
12.7955,1658,
12.7975,1617,
12.7995,1998,
12.8009,1675,
12.8028,2130,
12.8049,2100,
12.8069,2095,
12.8089,2055,
12.8109,1896,
12.8129,2008,
12.8145,2014,
12.8165,2042,
12.8185,1745,
12.8209,1761,
12.8229,2115,
12.8251,1976,
12.8269,1764,
12.8289,2076,
12.8308,2076,
12.8329,2219,
12.8349,1908,
12.8369,1763,
12.8389,2104,
12.8409,2120,
12.8429,2128,
12.8449,1778,
12.8469,2047,
12.8489,2098,
12.8509,2154,
12.8529,2132,
12.8549,1958,
12.8569,2009,
12.8589,2021,
12.8609,2147,
12.8629,2080,
12.8649,2076,
12.8669,2093,
12.8689,1754,
12.8709,2107,
12.8725,2030,
12.8745,1712,
12.8765,1781,
12.8785,2115,
12.8805,1767,
12.8825,1689,
12.8845,1746,
12.8869,1757,
12.8889,1860,
12.8909,2036,
12.8929,1999,
12.8949,2081,
12.8969,2108,
12.8989,2054,
12.9009,1899,
12.9029,1782,
12.9049,2116,
12.9069,2130,
12.9089,2125,
12.9109,2101,
12.9129,2218,
12.9148,1745,
12.9169,2155,
12.9189,1528,
12.9209,1688,
12.9229,1802,
12.9249,2125,
12.9269,2119,
12.9289,2090,
12.9308,2104,
12.9329,1865,
12.9348,1732,
12.9369,1768,
12.9389,2100,
12.9409,2110,
12.9429,2000,
12.9449,2152,
12.9469,1964,
12.9485,2058,
12.9505,1751,
12.9525,1756,
12.9545,1816,
12.9565,1585,
12.9585,1766,
12.9605,1767,
12.9625,1789,
12.9645,1758,
12.9665,1494,
12.9686,1769,
12.9709,1725,
12.9725,1763,
12.9745,1731,
12.9765,1721,
12.9785,1625,
12.9805,1625,
12.9825,1807,
12.9845,1701,
12.9865,2097,
12.9885,1829,
12.9905,1646,
12.9925,2006,
12.9945,1703,
12.9965,1710,
12.9985,1763,
12.9999,1652,
13.0025,2087,
13.0045,1695,
13.0065,1741,
13.0085,2147,
13.0105,1579,
13.0125,1732,
13.0145,1630,
13.0165,1778,
13.0181,1844,
13.0199,2086,
13.0219,2103,
13.0239,2099,
13.0259,2149,
13.0275,1770,
13.0295,1735,
13.0315,1723,
13.0335,1797,
13.0349,1734,
13.0369,1737,
13.0389,1790,
13.0409,2042,
13.0429,2173,
13.0449,1869,
13.0469,1767,
13.0489,2145,
13.0509,2085,
13.0529,2107,
13.0549,1511,
13.0569,2038,
13.0589,2025,
13.0609,2118,
13.0629,2127,
13.0649,1683,
13.0669,1775,
13.0689,1996,
13.0709,2051,
13.0729,2105,
13.0749,1540,
13.0769,2155,
13.0789,1978,
13.0809,2086,
13.0825,1732,
13.0845,1784,
13.0859,1772,
13.0879,1697,
13.0899,2111,
13.0919,2158,
13.0939,2063,
13.0959,1954,
13.0979,2110,
13.0999,1759,
13.1019,1556,
13.1039,1675,
13.1059,1646,
13.1079,1774,
13.1099,2138,
13.1119,1776,
13.1139,1681,
13.1155,1519,
13.1175,1704,
13.1195,1611,
13.1215,1773,
13.1235,1744,
13.1255,1757,
13.1275,1741,
13.1295,1579,
13.1315,1701,
13.1335,1742,
13.1352,1758,
13.1369,2057,
13.1389,1723,
13.1409,1767,
13.1429,1648,
13.1449,1728,
13.1469,1664,
13.1489,1719,
13.1509,1778,
13.1529,1657,
13.1549,1755,
13.1569,1960,
13.1589,2107,
13.1609,2135,
13.1629,1547,
13.1649,1783,
13.1669,1737,
13.1689,1826,
13.1709,1776,
13.1729,1746,
13.1749,1589,
13.1769,1526,
13.1789,1801,
13.1808,1765,
13.1825,1781,
13.1846,1754,
13.1865,1845,
13.1885,1680,
